Date,FirstDose,SecondDose,ThirdDose
2/January/22,0,0,0
3/January/22,32,720,443
4/January/22,0,0,0
5/January/22,0,1119,417
6/January/22,0,1135,326
7/January/22,19,1121,540
8/January/22,0,856,342
9/January/22,0,0,0
10/January/22,166,814,250
11/January/22,0,0,0
12/January/22,98,648,317
13/January/22,54,1047,245
14/January/22,25,622,349
15/January/22,0,0,0
16/January/22,26,268,324
17/January/22,0,0,0
18/January/22,61,414,343
19/January/22,14,146,335
20/January/22,23,166,418
21/January/22,14,117,518
22/January/22,24,192,429
23/January/22,0,0,0
24/January/22,0,0,0
25/January/22,30,188,362
26/January/22,9,133,300
27/January/22,9,125,227
28/January/22,11,210,231
29/January/22,20,265,264
30/January/22,0,0,0
31/January/22,27,234,296
1/February/22,21,257,291
2/February/22,0,0,0
3/February/22,11,108,270
4/February/22,12,83,238
5/February/22,0,0,0
6/February/22,19,120,191
7/February/22,17,159,267
8/February/22,0,0,0
9/February/22,13,143,189
10/February/22,10,105,897
11/February/22,11,77,695
12/February/22,0,0,0
13/February/22,17,135,364
14/February/22,5,77,154
15/February/22,0,0,0
16/February/22,30,67,212
17/February/22,12,77,229
18/February/22,25,60,248
19/February/22,34,64,350
20/February/22,0,0,0
21/February/22,0,0,0
22/February/22,14,66,208
23/February/22,20,53,143
24/February/22,20,52,178
25/February/22,16,38,211
26/February/22,16,63,161
27/February/22,0,0,0
28/February/22,0,0,0
1/March/22,5,43,153
2/March/22,19,39,102
3/March/22,19,58,132
4/March/22,16,69,165
5/March/22,13,38,122
6/March/22,0,0,0
7/March/22,9,12,29
8/March/22,199,36,47
9/March/22,306,16,41
10/March/22,13,35,105
11/March/22,446,64,125
12/March/22,8,12,20
13/March/22,398,16,0
14/March/22,9,26,60
15/March/22,4,28,107
16/March/22,11,39,101
17/March/22,147,32,62
18/March/22,184,48,90
19/March/22,148,46,0
20/March/22,0,0,0
21/March/22,5,20,43
22/March/22,71,40,67
23/March/22,0,0,0
24/March/22,0,0,0
25/March/22,0,0,0
26/March/22,32,141,222
27/March/22,0,0,0
28/March/22,62,6,2
29/March/22,10,62,208
30/March/22,48,223,142
31/March/22,77,581,4
1/April/22,76,348,4
2/April/22,0,0,0
3/April/22,5,48,155
4/April/22,73,316,6
5/April/22,2,1,12
6/April/22,61,59,9
7/April/22,102,105,14
8/April/22,42,127,26
9/April/22,13,79,482
10/April/22,0,0,0
11/April/22,11,57,258
12/April/22,45,89,221
13/April/22,34,94,166
14/April/22,0,0,0
15/April/22,0,0,0
16/April/22,0,0,0
17/April/22,0,0,0
18/April/22,1,4,2
19/April/22,32,66,2
20/April/22,19,27,9
